spp,t_c,block,sample,type,date,pre_post,time,Mod Int,Det Gain,Sat Flash Int,Sat PW,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Actinic Mode,Actinic Dur,Ke,Kq,PAR Corr,F',Fm',yield,ETR,PAR,Temp
BA,T,B,2,1p Y(II),8/29/16,pre,10:50:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,423,813,0.479,24.1,120,25
BA,T,B,3,1p Y(II),8/29/16,pre,10:50:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1320,3252,0.594,29.9,120,25
BA,T,B,4,1p Y(II),8/29/16,pre,10:50:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,182,286,0.363,18.2,120,25
BA,T,B,5,1p Y(II),8/29/16,pre,10:50:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,167,437,0.617,31,120,25
BA,T,B,6,1p Y(II),8/29/16,pre,10:50:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,594,1290,0.539,27.1,120,25
BA,T,B,7,1p Y(II),8/29/16,pre,10:51:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,347,731,0.525,26.4,120,25
BA,T,B,8,1p Y(II),8/29/16,pre,10:51:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,517,911,0.432,21.7,120,25
BA,T,A,1,1p Y(II),8/29/16,post,11:06:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,493,1073,0.54,27.2,120,25
BA,T,A,2,1p Y(II),8/29/16,post,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,555,1612,0.655,33,120,25
BA,T,A,3,1p Y(II),8/29/16,post,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,189,376,0.497,25,120,25
BA,T,A,4,1p Y(II),8/29/16,post,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,758,1563,0.515,25.9,120,25
BA,T,A,5,1p Y(II),8/29/16,post,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1376,3249,0.576,29,120,25
BA,T,A,6,1p Y(II),8/29/16,post,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,507,1438,0.647,32.6,120,25
BA,T,A,7,1p Y(II),8/29/16,post,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,270,605,0.553,27.8,120,25
BA,T,A,8,1p Y(II),8/29/16,post,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,794,1456,0.454,22.8,120,25
BA,T,B,1,1p Y(II),8/29/16,post,12:37:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,641,2053,0.687,34.6,120,25
BA,T,B,2,1p Y(II),8/29/16,post,12:37:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1271,2499,0.491,24.7,120,25
BA,T,B,3,1p Y(II),8/29/16,post,12:37:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,224,429,0.477,24,120,25
BA,T,B,4,1p Y(II),8/29/16,post,12:37:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,309,818,0.622,31.3,120,25
BA,T,B,5,1p Y(II),8/29/16,post,12:37:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,744,2019,0.631,31.8,120,25
BA,T,B,6,1p Y(II),8/29/16,post,12:37:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,363,734,0.505,25.4,120,25
BA,T,B,7,1p Y(II),8/29/16,post,12:37:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,932,2890,0.677,34.1,120,25
BA,C,A,1,1p Y(II),8/29/16,na,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,440,794,0.445,22.4,120,25
BA,C,A,2,1p Y(II),8/29/16,na,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,484,1111,0.564,28.4,120,25
BA,C,A,3,1p Y(II),8/29/16,na,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,466,1300,0.641,32.3,120,25
BA,C,A,4,1p Y(II),8/29/16,na,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,552,1095,0.495,24.9,120,25
BA,C,A,5,1p Y(II),8/29/16,na,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1258,2365,0.468,23.5,120,25
BA,C,A,6,1p Y(II),8/29/16,na,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,223,829,0.731,36.8,120,25
BA,C,A,7,1p Y(II),8/29/16,na,13:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,619,1122,0.448,22.5,120,25
BA,C,A,8,1p Y(II),8/29/16,na,13:25:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1455,2586,0.437,22,120,25
BA,C,B,1,1p Y(II),8/29/16,na,13:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,337,887,0.62,31.2,120,25
BA,C,B,2,1p Y(II),8/29/16,na,13:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,606,903,0.328,16.5,120,25
BA,C,B,3,1p Y(II),8/29/16,na,13:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1267,2035,0.377,18.9,120,25
BA,C,B,4,1p Y(II),8/29/16,na,13:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1090,3017,0.638,32.1,120,25
BA,C,B,5,1p Y(II),8/29/16,na,13:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,850,2910,0.707,35.6,120,25
BA,C,B,6,1p Y(II),8/29/16,na,13:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,963,1899,0.492,24.7,120,25
BA,C,B,7,1p Y(II),8/29/16,na,13:33:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,534,1595,0.665,33.5,120,25
BA,C,B,8,1p Y(II),8/29/16,na,13:33:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,645,1771,0.635,32,120,25
BA,T,B,8,1p Y(II),8/29/16,post,13:42:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,339,533,0.363,18.2,120,25
BA,T,B,1,1p Y(II),8/31/16,pre,10:15:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,397,1348,0.705,35.5,120,25
BA,T,B,2,1p Y(II),8/31/16,pre,10:15:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,641,1369,0.531,26.7,120,25
BA,T,B,3,1p Y(II),8/31/16,pre,10:15:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,293,419,0.3,15.1,120,25
BA,T,B,4,1p Y(II),8/31/16,pre,10:16:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,681,1752,0.611,30.7,120,25
BA,T,B,5,1p Y(II),8/31/16,pre,10:16:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1062,3230,0.671,33.8,120,25
BA,T,B,6,1p Y(II),8/31/16,pre,10:16:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,411,1050,0.608,30.6,120,25
BA,T,B,7,1p Y(II),8/31/16,pre,10:16:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,433,801,0.459,23.1,120,25
BA,T,B,8,1p Y(II),8/31/16,pre,10:16:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,657,1778,0.63,31.7,120,25
BA,T,A,1,1p Y(II),8/31/16,pre,10:25:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1106,3140,0.647,32.6,120,25
BA,T,A,2,1p Y(II),8/31/16,pre,10:25:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,786,2702,0.709,35.7,120,25
BA,T,A,3,1p Y(II),8/31/16,pre,10:26:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,521,1216,0.571,28.7,120,25
BA,T,A,4,1p Y(II),8/31/16,pre,10:26:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,392,685,0.427,21.5,120,25
BA,T,A,5,1p Y(II),8/31/16,pre,10:26:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,980,2728,0.64,32.2,120,25
BA,T,A,6,1p Y(II),8/31/16,pre,10:27:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,312,633,0.507,25.5,120,25
BA,T,A,7,1p Y(II),8/31/16,pre,10:27:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,201,724,0.722,36.3,120,25
BA,T,A,8,1p Y(II),8/31/16,pre,10:27:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1835,3406,0.461,23.2,120,25
BA,C,A,1,1p Y(II),8/31/16,na,13:11:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1221,2653,0.539,27.1,120,25
BA,C,A,2,1p Y(II),8/31/16,na,13:11:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,833,2252,0.63,31.7,120,25
BA,C,A,3,1p Y(II),8/31/16,na,13:11:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,330,1077,0.693,34.9,120,25
