spp,t_c,block,sample,date,pre_post,time,F700_Lvl,F735_Lvl,CFR,concentration
SF,T,B,3,8/31/16,post,13:50:45,447,475,1.06,282
SF,T,B,3,9/2/16,pre,8:32:29,451,535,1.19,364
SF,T,B,3,9/2/16,post,10:30:28,183,214,1.17,352
SF,T,A,4,8/24/16,pre,13:44:42,237,231,0.97,224
SF,T,A,4,8/24/16,post,15:10:34,457,486,1.06,281
SF,T,A,4,8/26/16,pre,8:57:49,531,515,0.97,224
SF,T,A,4,8/26/16,post,14:03:24,488,538,1.1,307
SF,T,A,4,8/29/16,pre,10:48:07,398,409,1.03,263
SF,T,A,4,8/29/16,post,12:23:36,522,566,1.08,295
SF,T,A,4,8/31/16,pre,9:49:37,441,432,0.98,231
SF,T,A,4,8/31/16,post,13:56:26,304,323,1.06,282
SF,T,A,4,9/2/16,pre,8:42:30,259,293,1.13,326
SF,T,A,4,9/2/16,post,11:32:22,552,598,1.08,295
SF,T,B,4,8/24/16,pre,10:40:19,195,184,0.95,211
SF,T,B,4,8/24/16,post,14:31:58,119,125,1.06,281
SF,T,B,4,8/26/16,pre,9:11:53,258,293,1.14,332
SF,T,B,4,8/26/16,post,13:56:23,504,529,1.05,276
SF,T,B,4,8/29/16,pre,10:12:18,379,429,1.13,326
SF,T,B,4,8/29/16,post,11:37:19,434,508,1.17,352
SF,T,B,4,8/31/16,pre,9:42:09,304,314,1.04,269
SF,T,B,4,8/31/16,post,13:50:58,547,630,1.15,339
SF,T,B,4,9/2/16,pre,8:32:47,499,562,1.13,326
SF,T,B,4,9/2/16,post,10:30:43,96,119,1.25,403
SF,T,A,5,8/24/16,pre,13:44:50,229,213,0.93,198
SF,T,A,5,8/24/16,post,15:10:47,338,329,0.97,224
SF,T,A,5,8/26/16,pre,8:58:05,465,489,1.05,275
SF,T,A,5,8/26/16,post,14:03:35,410,454,1.11,314
SF,T,A,5,8/29/16,pre,10:48:17,362,377,1.04,269
SF,T,A,5,8/29/16,post,12:23:47,410,452,1.1,307
SF,T,A,5,8/31/16,pre,9:49:47,262,290,1.11,314
SF,T,A,5,8/31/16,post,13:56:38,203,227,1.12,320
SF,T,A,5,9/2/16,pre,8:42:40,227,264,1.17,352
SF,T,A,5,9/2/16,post,11:32:31,473,525,1.11,314
SF,T,B,5,8/24/16,pre,10:40:33,210,201,0.96,217
SF,T,B,5,8/24/16,post,14:32:08,157,158,1.01,249
SF,T,B,5,8/26/16,pre,9:12:08,266,283,1.07,287
SF,T,B,5,8/26/16,post,13:56:39,460,504,1.1,307
SF,T,B,5,8/29/16,pre,10:12:28,377,407,1.08,295
SF,T,B,5,8/29/16,post,11:37:28,477,508,1.07,288
SF,T,B,5,8/31/16,pre,9:42:19,262,289,1.11,314
SF,T,B,5,8/31/16,post,13:51:18,507,556,1.1,307
SF,T,B,5,9/2/16,pre,8:32:59,511,507,0.99,237
SF,T,B,5,9/2/16,post,10:30:57,245,257,1.05,276
SF,T,A,6,8/24/16,pre,13:44:59,251,232,0.93,198
SF,T,A,6,8/24/16,post,15:10:59,378,373,0.99,236
SF,T,A,6,8/26/16,pre,8:58:25,377,393,1.04,268
SF,T,A,6,8/26/16,post,14:03:46,421,457,1.09,301
SF,T,A,6,8/29/16,pre,10:48:35,395,411,1.04,269
SF,T,A,6,8/29/16,post,12:23:57,455,498,1.09,301
SF,T,A,6,8/31/16,pre,9:50:01,296,277,0.94,206
SF,T,A,6,8/31/16,post,13:56:48,376,387,1.03,263
SF,T,A,6,9/2/16,pre,8:42:53,169,189,1.12,320
SF,T,A,6,9/2/16,post,11:32:42,565,602,1.07,288
SF,T,B,6,8/24/16,pre,10:41:15,233,219,0.94,205
SF,T,B,6,8/24/16,post,14:32:17,200,197,0.99,236
SF,T,B,6,8/26/16,pre,9:12:39,364,366,1.01,249
SF,T,B,6,8/26/16,post,13:56:51,577,603,1.05,276
SF,T,B,6,8/29/16,pre,10:12:41,414,464,1.12,320
SF,T,B,6,8/29/16,post,11:37:38,599,575,0.96,218
